1,malo,Existe correlacion
3,malo,Existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
5,normal,Existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
10,bueno,Existe correlacion
1,normal,No existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
3,malo,Existe correlacion
8,bueno,Existe correlacion
1,malo,Existe correlacion
1,normal,No existe correlacion
2,malo,Existe correlacion
2,normal,No existe correlacion
7,malo,No existe correlacion
4,malo,No existe correlacion
1,normal,No existe correlacion
7,bueno,No existe correlacion
2,malo,Existe correlacion
7,normal,Existe correlacion
10,bueno,Existe correlacion
10,bueno,Existe correlacion
7,bueno,No existe correlacion
1,bueno,No existe correlacion
5,normal,Existe correlacion
8,bueno,Existe correlacion
1,malo,Existe correlacion
5,bueno,No existe correlacion
10,bueno,Existe correlacion
8,normal,No existe correlacion
2,malo,Existe correlacion
9,bueno,Existe correlacion
2,normal,No existe correlacion
1,malo,Existe correlacion
10,bueno,Existe correlacion
1,bueno,No existe correlacion
1,malo,Existe correlacion
5,bueno,No existe correlacion
6,bueno,No existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
5,bueno,No existe correlacion
7,bueno,No existe correlacion
1,malo,Existe correlacion
5,malo,No existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
6,bueno,No existe correlacion
4,malo,No existe correlacion
6,bueno,No existe correlacion
6,bueno,No existe correlacion
8,bueno,Existe correlacion
1,normal,No existe correlacion
1,malo,Existe correlacion
7,bueno,No existe correlacion
7,malo,No existe correlacion
10,bueno,Existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
3,bueno,No existe correlacion
8,normal,No existe correlacion
8,bueno,Existe correlacion
1,normal,No existe correlacion
1,malo,Existe correlacion
6,normal,Existe correlacion
1,malo,Existe correlacion
0,malo,Existe correlacion
8,bueno,Existe correlacion
2,malo,Existe correlacion
1,malo,Existe correlacion
8,normal,No existe correlacion
7,bueno,No existe correlacion
1,malo,Existe correlacion
10,normal,No existe correlacion
1,normal,No existe correlacion
5,bueno,No existe correlacion
1,malo,Existe correlacion
10,bueno,Existe correlacion
1,malo,Existe correlacion
2,malo,Existe correlacion
5,bueno,No existe correlacion
8,normal,No existe correlacion
10,bueno,Existe correlacion
1,normal,No existe correlacion
3,bueno,No existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
9,bueno,Existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
9,bueno,Existe correlacion
3,malo,Existe correlacion
6,bueno,No existe correlacion
5,bueno,No existe correlacion
1,bueno,No existe correlacion
1,malo,Existe correlacion
2,normal,No existe correlacion
1,malo,Existe correlacion
2,malo,Existe correlacion
9,bueno,Existe correlacion
2,malo,Existe correlacion
7,bueno,No existe correlacion
6,bueno,No existe correlacion
8,bueno,Existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
2,normal,No existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
8,malo,No existe correlacion
9,bueno,Existe correlacion
1,malo,Existe correlacion
9,bueno,Existe correlacion
1,malo,Existe correlacion
3,bueno,No existe correlacion
1,malo,Existe correlacion
6,normal,Existe correlacion
1,normal,No existe correlacion
1,malo,Existe correlacion
1,normal,No existe correlacion
5,bueno,No existe correlacion
1,malo,Existe correlacion
1,normal,No existe correlacion
7,bueno,No existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
4,malo,No existe correlacion
2,malo,Existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
2,malo,Existe correlacion
6,bueno,No existe correlacion
1,malo,Existe correlacion
2,normal,No existe correlacion
1,malo,Existe correlacion
1,normal,No existe correlacion
4,bueno,No existe correlacion
2,normal,No existe correlacion
1,malo,Existe correlacion
7,bueno,No existe correlacion
6,bueno,No existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
7,bueno,No existe correlacion
1,malo,Existe correlacion
3,normal,No existe correlacion
2,malo,Existe correlacion
2,malo,Existe correlacion
1,malo,Existe correlacion
2,malo,Existe correlacion
5,bueno,No existe correlacion
10,normal,No existe correlacion
8,malo,No existe correlacion
2,malo,Existe correlacion
3,malo,Existe correlacion
5,normal,Existe correlacion
9,bueno,Existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
10,bueno,Existe correlacion
5,bueno,No existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
9,normal,No existe correlacion
1,malo,Existe correlacion
2,malo,Existe correlacion
9,bueno,Existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
5,bueno,No existe correlacion
9,bueno,Existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
7,malo,No existe correlacion
3,bueno,No existe correlacion
3,normal,No existe correlacion
1,normal,No existe correlacion
10,bueno,Existe correlacion
1,malo,Existe correlacion
2,malo,Existe correlacion
1,malo,Existe correlacion
1,malo,Existe correlacion
2,bueno,No existe correlacion
3,malo,Existe correlacion
1,malo,Existe correlacion
1,normal,No existe correlacion
